State_code,Date,RR_change
AL,3/15/2020,-7
AK,3/15/2020,5
AZ,3/15/2020,-2
AR,3/15/2020,-5
CA,3/15/2020,-16
CO,3/15/2020,-14
CT,3/15/2020,-13
DE,3/15/2020,-7
DC,3/15/2020,-35
FL,3/15/2020,-9
GA,3/15/2020,-12
HI,3/15/2020,-8
ID,3/15/2020,2
IL,3/15/2020,-8
IN,3/15/2020,-7
IA,3/15/2020,0
KS,3/15/2020,-6
KY,3/15/2020,-11
LA,3/15/2020,-5
ME,3/15/2020,0
MD,3/15/2020,-13
MA,3/15/2020,-15
MI,3/15/2020,-11
MN,3/15/2020,-5
MS,3/15/2020,2
MO,3/15/2020,-2
MT,3/15/2020,-14
NE,3/15/2020,-12
NV,3/15/2020,-6
NH,3/15/2020,-6
NJ,3/15/2020,-14
NM,3/15/2020,-7
NY,3/15/2020,-14
NC,3/15/2020,-8
ND,3/15/2020,-8
OH,3/15/2020,-9
OK,3/15/2020,-5
OR,3/15/2020,-11
PA,3/15/2020,-8
RI,3/15/2020,-13
SC,3/15/2020,2
SD,3/15/2020,-8
TN,3/15/2020,-8
TX,3/15/2020,-9
UT,3/15/2020,-6
VT,3/15/2020,-8
VA,3/15/2020,-14
WA,3/15/2020,-10
WV,3/15/2020,-3
WI,3/15/2020,-5
WY,3/15/2020,-4
AL,3/16/2020,-2
AK,3/16/2020,1
AZ,3/16/2020,0
AR,3/16/2020,-6
CA,3/16/2020,-12
CO,3/16/2020,-7
CT,3/16/2020,-7
DE,3/16/2020,0
DC,3/16/2020,-31
FL,3/16/2020,-6
GA,3/16/2020,-8
HI,3/16/2020,-10
ID,3/16/2020,2
IL,3/16/2020,-10
IN,3/16/2020,-5
IA,3/16/2020,-3
KS,3/16/2020,-7
KY,3/16/2020,-8
LA,3/16/2020,-3
ME,3/16/2020,-7
MD,3/16/2020,-7
MA,3/16/2020,-12
MI,3/16/2020,-17
MN,3/16/2020,-5
MS,3/16/2020,4
MO,3/16/2020,-2
MT,3/16/2020,-2
NE,3/16/2020,-5
NV,3/16/2020,-5
NH,3/16/2020,-1
NJ,3/16/2020,-10
NM,3/16/2020,-2
NY,3/16/2020,-15
NC,3/16/2020,-4
ND,3/16/2020,-4
OH,3/16/2020,-16
OK,3/16/2020,-2
OR,3/16/2020,-5
PA,3/16/2020,-6
RI,3/16/2020,-8
SC,3/16/2020,-1
SD,3/16/2020,-7
TN,3/16/2020,-4
TX,3/16/2020,-4
UT,3/16/2020,-7
VT,3/16/2020,-5
VA,3/16/2020,-7
WA,3/16/2020,-13
WV,3/16/2020,-1
WI,3/16/2020,-10
WY,3/16/2020,1
AL,3/17/2020,-11
AK,3/17/2020,-14
AZ,3/17/2020,-9
AR,3/17/2020,-10
CA,3/17/2020,-23
CO,3/17/2020,-24
CT,3/17/2020,-27
DE,3/17/2020,-17
DC,3/17/2020,-40
FL,3/17/2020,-11
GA,3/17/2020,-14
HI,3/17/2020,-18
ID,3/17/2020,-7
IL,3/17/2020,-23
IN,3/17/2020,-21
IA,3/17/2020,-21
KS,3/17/2020,-13
KY,3/17/2020,-19
LA,3/17/2020,-18
ME,3/17/2020,-24
MD,3/17/2020,-20
MA,3/17/2020,-32
MI,3/17/2020,-29
MN,3/17/2020,-18
MS,3/17/2020,-3
MO,3/17/2020,-10
MT,3/17/2020,-19
NE,3/17/2020,-17
NV,3/17/2020,-12
NH,3/17/2020,-22
NJ,3/17/2020,-27
NM,3/17/2020,-11
NY,3/17/2020,-31
NC,3/17/2020,-13
ND,3/17/2020,-10
OH,3/17/2020,-25
OK,3/17/2020,-10
OR,3/17/2020,-22
PA,3/17/2020,-28
RI,3/17/2020,-31
SC,3/17/2020,-8
SD,3/17/2020,-8
TN,3/17/2020,-10
TX,3/17/2020,-12
UT,3/17/2020,-18
VT,3/17/2020,-24
VA,3/17/2020,-13
