Row Labels,State_code,Avg_retail_and_recreation,Avg_workplaces_change,Avg_grocery_and_pharmacy_change,Avg_parks_percent_change,Avg_residential_change,Avg_transit_stations_change
Alabama,AL,-18.92,-30.09,0.88,29.12,10.5,-13.13
Alaska,AK,-12.94,-29.52,2.59,87.28,9.56,-29.37
Arizona,AZ,-28.16,-36.81,-8.9,-13.61,12.62,-33.31
Arkansas,AR,-13.82,-28.1,4.47,66.49,8.61,-12.09
California,CA,-42.62,-41.62,-11.43,-16.67,16.96,-46.34
Colorado,CO,-29.87,-40.76,-8.41,35.96,14.27,-43.5
Connecticut,CT,-30.27,-39.98,-11.15,57.11,15.8,-41.65
Delaware,DE,-26.78,-37.92,-10.14,28.77,14.31,-37.69
District of Columbia,DC,-58.68,-57.28,-25.86,-45.87,21.75,-70.41
Florida,FL,-33.69,-36.91,-14.52,-31.76,13.99,-49.31
Georgia,GA,-23.55,-36.62,-4.72,21.45,13.04,-41.25
Hawaii,HI,-44.22,-40.42,-23.21,-48.87,17.06,-63.54
Idaho,ID,-14.8,-31.61,4.91,116.31,8.61,-8
Illinois,IL,-33.58,-40.57,-6.43,28.7,15.22,-42.44
Indiana,IN,-20.12,-34.28,-1.52,94.23,11.71,-12.55
Iowa,IA,-22.95,-30.44,9.18,122.03,10.89,-10.87
Kansas,KS,-21.1,-32.24,-2.7,100.81,10.72,-8.64
Kentucky,KY,-21.47,-34.5,2.48,69.98,11.14,-19.57
Louisiana,LA,-25.39,-33.14,-2.38,-7.85,12.02,-32.51
Maine,ME,-25.55,-33.7,-4.15,83.96,11.42,-30.97
Maryland,MD,-31.74,-43.98,-12.61,51.79,17.92,-45.19
Massachusetts,MA,-37.93,-46.55,-15.82,39.64,18.3,-60.72
Michigan,MI,-33.02,-43.59,-9.16,101.37,15.4,-35.92
Minnesota,MN,-30.05,-38.89,-4.03,92.03,14.68,-47.29
Mississippi,MS,-13.48,-29.14,1.82,19.73,9.65,-11.79
Missouri,MO,-19.47,-32.33,1.06,63.51,10.63,-20.81
Montana,MT,-17.35,-28.67,6.58,78.78,7.91,-12.03
Nebraska,NE,-21.3,-30.54,0.02,84.54,11.65,-7.5
Nevada,NV,-31.99,-44.94,-8.63,-27.37,14.86,-45.97
New Hampshire,NH,-24,-37.11,-6.91,79.57,14.29,-31.93
New Jersey,NJ,-46.22,-46.88,-12.54,49.66,19.78,-57.26
New Mexico,NM,-25.84,-35.85,-0.52,12.35,12.76,-20.22
New York,NY,-48.88,-47.38,-12.82,11.42,18.92,-59.5
North Carolina,NC,-24.17,-34.57,-2.89,35.05,11.89,-35.17
North Dakota,ND,-21.16,-26.63,-2.4,80.52,10.48,-17.98
Ohio,OH,-23.78,-36.07,-3.65,105.12,12.33,-17.8
Oklahoma,OK,-14.23,-30.55,3.68,49.94,9.69,-7.45
Oregon,OR,-29.19,-38.48,-5.25,43.11,12.34,-33.31
Pennsylvania,PA,-33.19,-40.46,-10.77,46.77,14.91,-43.6
Rhode Island,RI,-26.9,-39.3,-10.35,103.48,14.97,-50.4
South Carolina,SC,-18.47,-31.36,0.23,18.72,10.45,-13.56
South Dakota,SD,-15.77,-27.04,10.61,142.3,10.23,-2.89
Tennessee,TN,-17.81,-31.93,0.8,42.67,10.17,-21.42
Texas,TX,-25.73,-36.5,-7.39,-5.09,14.26,-34.46
Utah,UT,-21.9,-37.42,0.85,88.87,11.9,-33.41
Vermont,VT,-33.03,-41.43,-14.68,63.45,14.23,-44.12
Virginia,VA,-29.07,-39.5,-7.2,38.26,14.95,-40.89
Washington,WA,-32.17,-43.38,-7.77,46.92,14.83,-45.1
West Virginia,WV,-18.31,-31.39,-1.14,36.47,9.65,-9.97
Wisconsin,WI,-27.62,-33.44,-3.98,117.64,13.02,-21.14
Wyoming,WY,-14.69,-26.89,6.37,80.78,8.42,5.92
