Date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
3/15/2020,5,-7,-5,-2,-16,-14,-13,-35,-7,-9,-12,-8,0,2,-8,-7,-6,-11,-5,-15,-13,0,-11,-5,-2,2,-14,-8,-8,-12,-6,-14,-7,-6,-14,-9,-5,-11,-8,-13,2,-8,-8,-9,-6,-14,-8,-10,-5,-3,-4
3/16/2020,1,-2,-6,0,-12,-7,-7,-31,0,-6,-8,-10,-3,2,-10,-5,-7,-8,-3,-12,-7,-7,-17,-5,-2,4,-2,-4,-4,-5,-1,-10,-2,-5,-15,-16,-2,-5,-6,-8,-1,-7,-4,-4,-7,-7,-5,-13,-10,-1,1
3/17/2020,-14,-11,-10,-9,-23,-24,-27,-40,-17,-11,-14,-18,-21,-7,-23,-21,-13,-19,-18,-32,-20,-24,-29,-18,-10,-3,-19,-13,-10,-17,-22,-27,-11,-12,-31,-25,-10,-22,-28,-31,-8,-8,-10,-12,-18,-13,-24,-26,-20,-5,-7
3/18/2020,-19,-13,-12,-23,-29,-26,-27,-45,-23,-19,-18,-20,-32,-12,-34,-27,-16,-24,-20,-31,-23,-25,-33,-34,-12,-5,-27,-22,-19,-22,-23,-30,-15,-27,-33,-29,-12,-25,-33,-28,-19,-14,-15,-16,-26,-21,-30,-28,-34,-18,-13
3/19/2020,-26,-20,-18,-22,-32,-46,-33,-46,-26,-23,-21,-23,-37,-15,-34,-28,-23,-28,-25,-39,-24,-35,-34,-41,-25,-13,-29,-23,-30,-33,-33,-35,-24,-36,-39,-32,-20,-28,-35,-36,-22,-29,-17,-22,-30,-23,-37,-31,-39,-22,-31
3/20/2020,-28,-27,-23,-28,-40,-42,-32,-50,-25,-29,-24,-31,-35,-21,-33,-30,-24,-29,-32,-34,-27,-38,-41,-38,-24,-23,-33,-25,-40,-33,-33,-35,-28,-38,-40,-35,-26,-32,-39,-32,-25,-26,-27,-30,-33,-26,-41,-33,-40,-30,-38
3/21/2020,-37,-35,-33,-36,-48,-43,-38,-60,-34,-39,-31,-40,-44,-29,-46,-39,-38,-38,-42,-42,-36,-41,-46,-49,-37,-30,-41,-32,-52,-38,-39,-42,-37,-46,-46,-44,-35,-40,-48,-39,-32,-33,-33,-40,-40,-37,-46,-43,-48,-35,-39
3/22/2020,-30,-40,-41,-37,-50,-41,-43,-60,-38,-43,-39,-42,-46,-22,-63,-46,-35,-40,-40,-46,-40,-38,-47,-48,-40,-36,-39,-39,-49,-40,-41,-57,-36,-46,-54,-38,-38,-37,-47,-42,-39,-31,-37,-41,-33,-38,-47,-38,-50,-40,-38
3/23/2020,-36,-33,-29,-31,-41,-31,-47,-59,-31,-37,-35,-38,-39,-24,-50,-30,-28,-30,-35,-40,-35,-37,-34,-39,-33,-26,-32,-32,-37,-30,-38,-56,-26,-41,-62,-33,-28,-38,-50,-42,-34,-23,-32,-31,-31,-34,-44,-36,-36,-34,-28
3/24/2020,-37,-32,-30,-32,-42,-35,-43,-55,-42,-38,-35,-45,-41,-26,-47,-34,-36,-39,-43,-49,-38,-43,-59,-41,-44,-28,-35,-31,-41,-32,-42,-46,-39,-40,-53,-51,-25,-47,-45,-40,-36,-28,-39,-30,-33,-31,-46,-41,-47,-36,-31
3/25/2020,-40,-28,-25,-33,-42,-35,-46,-61,-47,-38,-33,-50,-39,-27,-43,-45,-34,-33,-39,-52,-44,-40,-53,-37,-33,-24,-37,-28,-39,-30,-38,-51,-41,-41,-56,-43,-21,-45,-49,-43,-30,-35,-33,-39,-34,-39,-39,-44,-52,-46,-35
3/26/2020,-40,-30,-24,-34,-42,-50,-41,-58,-38,-40,-34,-51,-40,-40,-47,-43,-40,-33,-39,-47,-36,-40,-56,-37,-39,-26,-33,-35,-38,-34,-34,-46,-41,-42,-52,-42,-29,-46,-44,-38,-31,-37,-31,-38,-36,-35,-53,-49,-51,-40,-36
3/27/2020,-42,-30,-28,-38,-44,-53,-42,-59,-40,-44,-35,-52,-40,-43,-48,-45,-37,-36,-42,-48,-39,-44,-58,-40,-37,-29,-35,-35,-40,-34,-37,-48,-43,-43,-54,-46,-34,-50,-46,-39,-32,-36,-34,-41,-38,-37,-53,-51,-51,-43,-42
3/28/2020,-47,-36,-39,-41,-50,-56,-48,-68,-51,-49,-39,-56,-48,-47,-53,-49,-45,-38,-47,-52,-48,-46,-63,-65,-46,-34,-59,-40,-48,-44,-51,-59,-47,-47,-61,-50,-37,-55,-58,-46,-35,-49,-38,-47,-46,-42,-59,-55,-58,-42,-44
3/29/2020,-48,-41,-29,-40,-50,-51,-56,-64,-47,-50,-42,-56,-43,-42,-53,-48,-36,-37,-45,-59,-45,-50,-58,-58,-38,-32,-51,-40,-44,-34,-58,-59,-44,-47,-62,-43,-36,-51,-50,-55,-38,-35,-35,-45,-41,-39,-62,-48,-55,-38,-37
3/30/2020,-40,-33,-31,-30,-40,-44,-43,-57,-37,-42,-34,-49,-34,-38,-43,-38,-41,-33,-40,-49,-26,-46,-54,-44,-36,-26,-42,-34,-37,-30,-43,-49,-37,-40,-55,-41,-37,-44,-45,-45,-30,-31,-31,-41,-36,-32,-51,-45,-45,-34,-31
3/31/2020,-37,-36,-26,-33,-40,-40,-42,-61,-39,-42,-37,-48,-37,-38,-44,-41,-35,-37,-37,-46,-48,-38,-53,-42,-34,-26,-45,-40,-40,-29,-39,-49,-34,-37,-55,-41,-29,-41,-45,-41,-32,-32,-36,-35,-34,-40,-47,-42,-47,-37,-31
4/1/2020,-35,-25,-19,-38,-39,-41,-40,-58,-36,-37,-30,-48,-34,-35,-41,-37,-33,-32,-32,-46,-43,-33,-50,-41,-27,-15,-47,-38,-41,-27,-39,-47,-33,-37,-52,-37,-22,-39,-43,-41,-30,-32,-31,-33,-34,-38,-47,-40,-43,-34,-33
4/10/2020,-40,-34,-25,-38,-47,-43,-45,-65,-42,-47,-37,-52,-36,-35,-44,-39,-33,-36,-44,-50,-43,-47,-57,-41,-34,-32,-38,-36,-40,-34,-43,-62,-39,-44,-65,-41,-30,-41,-49,-44,-37,-33,-36,-39,-37,-39,-55,-42,-46,-42,-33
4/11/2020,-41,-39,-35,-43,-48,-46,-44,-69,-41,-49,-40,-55,-44,-40,-46,-40,-41,-39,-45,-49,-43,-43,-58,-44,-44,-35,-55,-40,-48,-39,-42,-61,-46,-45,-62,-41,-38,-45,-47,-45,-41,-47,-40,-45,-42,-40,-54,-47,-47,-38,-41
4/12/2020,-55,-64,-53,-57,-62,-69,-65,-72,-65,-66,-63,-67,-67,-51,-64,-62,-61,-60,-64,-67,-60,-73,-74,-77,-62,-63,-67,-61,-69,-69,-65,-76,-60,-61,-75,-65,-54,-56,-70,-63,-64,-73,-65,-57,-54,-59,-75,-56,-70,-62,-64
4/13/2020,-36,-31,-26,-39,-45,-53,-57,-67,-50,-47,-38,-55,-40,-33,-46,-39,-40,-37,-38,-58,-49,-45,-57,-45,-39,-27,-38,-39,-44,-35,-46,-70,-44,-46,-70,-43,-34,-38,-53,-56,-36,-41,-33,-38,-38,-44,-53,-40,-47,-39,-39
4/14/2020,-32,-30,-25,-37,-43,-45,-39,-62,-36,-46,-34,-54,-41,-32,-45,-37,-37,-34,-35,-45,-39,-36,-53,-45,-37,-24,-38,-33,-44,-36,-35,-58,-37,-44,-60,-38,-33,-36,-43,-35,-29,-40,-31,-36,-32,-36,-48,-39,-46,-34,-36
4/15/2020,-25,-19,-10,-31,-45,-38,-36,-61,-34,-42,-27,-51,-32,-25,-41,-30,-26,-24,-25,-45,-37,-33,-48,-38,-22,-12,-35,-28,-33,-25,-31,-56,-28,-38,-59,-31,-15,-32,-38,-36,-25,-32,-21,-29,-31,-33,-42,-34,-39,-24,-29
