"sub_region_1","y_var","POSTCODE","FIPS","STEMERG","STEMERGEND","CLSCHOOL","CLDAYCR","OPNCLDCR","CLNURSHM","STAYHOME","STAYHOMENOGP","END_STHM","CLBSNS","CURFEW","END_BSNS","RELIGEX","FM_ALL","FM_ALL2","FMFINE","FMCITE","FMNOENF","FM_EMP","FM_END","FM_STP","ALCOPEN","ALCREST","ALCDELIV","GUNOPEN","CLREST","ENDREST","RSTOUTDR","CLGYM","ENDGYM","CLMOVIE","END_MOV","CLOSEBAR","END_BRS","END_HAIR","END_RELG","ENDRETL","CURFEWEND","BCLBAR2","CLBAR2","CLMV2","CLHAIR2","CLGYM2","CLRST2","ENDREST2","END_BRS2","END_CLGYM2","END_CLMV2","CLBAR3","CLRST3","END_CLRST3","QRSOMEST","QR_ALLST","QR_END","VAC_PLAN","VAC_HCW","VAC_HCS","VAC_HHC","VAC_AHC","VAC_LTC","VAC_EMS","VAC_FF","VAC_LAW","VAC_CORR","VAC_INC","VAC_SHELTER","VAC_75","VAC_65","VAC_HR","VAC_K12","VAC_HIGHED","VAC_PT","VAC_FOOD","VAC_GROCERY","VAC_ESSWORK","VAC_ADDWORK","VAC_PUB","AGEPRIORITY","PROOFWORK","PROOFAGE","PROOFRES","PENALTY","EXPANDADMIN","EMSTART","EMEND","EMSTART2","EMEND2","EMSTART3","EMEND3","FREEZEINIT","LIFTINIT","FREEZEINIT2","LIFTINIT2","COURTCLOSE","COURTOPEN","COURTCLOSE2","COURTOPEN2","FREEZEENF","LIFTENF","FREEZEENF2","LIFTENF2","C19START","C19END","C19START2","C19END2","CARESSTART","CARESEND","CDCSTART","CDCEND","SMSTART","SMEND","SMSTART2","URSTART","UREND","SNAPALLO","SNAPEBT","SNAPSUSP","SNAPTLW","MED1135W","ACAENROL","PREVTLHL","TLHLAUD","TLHLMED","CHIPLKOT","LKOTSUS","TEST","CASE","HOSP","DEATH","VACCINE","TESTAIAN","CASEAIAN","HOSPAIAN","DEATHAIAN","VACCINEAIAN","VISITPER","VISITATT","VISITRES","NOCOPAY","NOPAYCOV","NOPAYALL","YESCOPAY","ELECPRCR","ENDELECP","ELECNOSTART","ELECPRCR2","ENDELECP2","WTPRD","WV_WTPRD","REI_WTPRD","WV_WKSR","REI_WKSR","UIQUAR","UIHIRISK","UICLDCR","UIEXTND","UIMAXAMT","UIMAXEXT","UIMAXDUR","UIMAXCAR","EBSTART","EBEND","TUR","TURPRIOR","TURPRIOR2","20EBSTART","20EBEND","UIMINBP","UIQTRNEED","UIOUTHQBP","UIREQBPL2Q","UIBPEARN300","UITAXWA","UIMINTAXR","UIMAXTAXR","UIAVGBFTAUG","LMABRN","TLHlBUPR","EXTOPFL","HMDLVOP","TLHLCL24","EXCEMORP","WVDEAREQ","PDSKLV","MEDEXP","POPDEN18","POP18","SQML","HMLS19","UNEMP18","POV18","RISKCOV","DEATH18","MH19","CASSTATE","AIANRESN","VBMEXC","VBMSIG","VBMPERM","VBMAUTOBAL","VBMAUTOAP","VBMGENELEC","CASCLOSE","CASOPEN","CASCLOSE2","CASOPEN2","CASTRIBCAS","MINWAGE2015","MINWAGE2016","MINWAGE2017","MINWAGE2018","MINWAGE2019","MINWAGEJAN2020","MINWAGEJUL2020","MINWAGESEP2020","MINWAGEOCT2020","TIPMINWAGE2020","MINWAGE2021","SMALLBUSMINWAGE","stay","length","Population","MedianAge","SexRatio","SexRatioGt65","YoungPopPcnt","Party","new_case","new_case_per_thousand"
"Alabama",-19,"AL","1","2020-03-13","0","2020-03-20","2020-03-20","2020-05-23","2020-03-19","2020-04-04","0","2020-04-30","2020-03-28","0","2020-04-30","0","2020-07-16","0","0","0","1","2020-05-11","0","0","1","2020-03-24","2020-03-24","1","2020-03-19","2020-05-11","0","2020-03-28","2020-05-11","2020-03-28","2020-05-22","2020-03-19","2020-05-11","2020-05-11","2020-05-11","2020-04-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2021-02-15","1A","1A","1A","1A","1A","1A","1B","1B","1B","1B","1B","1B","1C","1C","1B","1B","1B","1B","1B","1B","1C","2","0","1","1","0","1","0","2020-04-03","2020-06-01","0","0","0","0","0","0","0","0","0","0","0","0","2020-04-03","2020-06-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2020-03-24","2020-04-21","0","0","2020-03-23","0","0","2020-03-22","2020-03-16","0","0","0","1","0","1","1","0","0","0","0","1","2020-03-13","2020-03-13","0","0","0","1","0","2020-03-19","2020-04-30","0","0","0","0","2020-03-16","0","1","1","1","0","0","0","275","875","20","39","2020-05-31","2020-09-26","7","250","175","0","0","2340","2","780","0","Max Benefit < $300","8000","0.65","6.8","250.77","1","0","0","0","2020-03-20","0","0","0","0","93.24","4887871","52420","3261","5.6","16.8","43.1","54352","100.7","1","1","0","1","0","0","0","2020-10-29","2020-03-28","2020-05-22","0","0","0","7.25","7.25","7.25","7.25","7.25","7.25","7.25","7.25","7.25","2.13","7.25","0","1",26,4903185,39.4,93.5,90.4,0.131426817466606,"R",26712,5.44788744458959
"Alaska",-14,"AK","2","2020-03-11","2021-02-14","2020-03-16","0","0","0","2020-03-28","0","2020-04-24","2020-03-24","0","2020-04-24","0","2020-04-24","0","1","1","0","2020-04-24","2020-05-22","0","1","2020-03-17","2020-03-17","1","2020-03-18","2020-04-24","0","2020-03-18","2020-05-08","2020-03-18","2020-05-08","2020-03-18","2020-05-08","2020-04-24","2020-05-08","2020-04-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2020-03-25","2021-02-14","2021-03-09","1A","1A","1A","1A","1A","1A","1C","1C","1B","1B","1B","1B","1B","1C","1B","1C","1C","1C","1C","1C","1C","2","1","0","0","0","0","0","2020-03-23","2020-07-01","0","0","0","0","2020-04-10","2020-07-01","0","0","2020-03-23","2020-04-24","0","0","0","0","0","0","2020-04-10","2020-07-01","0","0","0","0","2020-09-04","0","0","0","0","0","0","2020-04-01","2020-06-05","0","1","2020-04-02","0","0","2020-03-17","2020-03-20","0","0","0","1","1","1","1","0","1","1","1","1","2020-03-13","2020-03-13","0","0","1","0","0","2020-03-19","2020-04-20","0","0","0","0","2020-03-18","0","1","1","1","0","1","0","370","970","26","39","2020-05-03","0","-","-","-","2020-07-05","2020-12-12","2500","2","250","0","13636.36","41500","1","5.4","443.23","1","0","0","0","0","0","0","0","1","1.1100000000000001","737438","665384","1907","6.8","10.9","32.799999999999997","4453","429.9","0","1","0","1","0","0","2","2020-10-24","0","0","0","0","0","8.75","9.75","9.8000000000000007","9.84","10.19","10.19","10.19","10.19","10.19","10.19","10.34","0","1",27,731545,35,108.4,108.6,0.128723455153135,"R",663,0.906301047782433
"Arizona",-30,"AZ","4","2020-03-11","0","2020-03-16","0","0","0","2020-03-31","0","2020-05-16","2020-03-31","0","2020-05-08","1","0","0","0","0","0","2020-05-08","0","2020-03-30","1","2020-03-19","2020-03-19","1","2020-03-21","2020-05-11","0","2020-03-21","2020-05-13","2020-03-21","2020-05-16","2020-03-21","2020-05-16","2020-05-08","0","2020-05-08","0","2020-06-29","2020-06-29","2020-06-29","0","2020-06-29","0","0","0","0","0","0","0","0","2020-04-09","0","2020-05-12","2021-02-26","1A","1A","1A","1A","1A","1A","1B","1B","1B","1C","1C","1B","1B","1C","1B","1B","1B","1B","1B","1B","2","2","0","1","1","0","1","0","2020-03-24","2020-10-31","0","0","0","0","0","0","0","0","0","0","0","0","2020-03-24","2020-10-31","0","0","2020-03-24","2020-10-31","0","0","2020-03-27","2021-01-31","2020-09-04","2021-02-01","0","0","0","0","0","2020-04-01","2020-04-17","0","1","2020-03-23","0","0","2020-03-25","2020-03-25","1","1","0","1","1","1","1","0","1","1","1","1","2020-03-13","2020-03-13","0","0","1","0","0","2020-03-21","2020-05-01","0","0","0","0","2020-03-20","0","1","1","1","1","1","0","240","840","26","39","2020-06-14","2020-12-12","6.9","150","147","0","0","7020","2","2340","0","Max Benefit < $300","7000","0.05","12.85","237.99","0","0","0","0","0","2020-03-11","0","1","1","62.91","7171646","113990","10007","5.4","14","39.1","59282","132.9","1","1","0","0","0","0","0","2020-10-23","0","0","0","0","0","8.0500000000000007","8.0500000000000007","10","10.5","12","12","12","12","12","9","12.15","0","1",46,7278717,38.3,99,97.4,0.13388966764335,"R",36693,5.04113568366513
"Arkansas",-12,"AR","5","2020-03-11","0","2020-03-17","0","0","2020-03-13","0","0","0","2020-04-06","2020-11-19","2020-05-04","0","2020-07-20","0","1","1","0","2020-05-11","0","0","1","2020-03-19","2020-03-19","1","2020-03-20","2020-05-11","0","2020-03-20","2020-05-04","2020-03-20","2020-05-18","2020-03-20","2020-05-19","2020-05-06","0","2020-05-18","2021-01-03","0","0","0","0","0","0","0","0","0","0","0","0","0","2020-05-05","0","2020-06-15","2021-01-12","1A","1A","1A","1A","1A","1A","1A","1A","1B","1C","1C","1B","1C","1C","1B","1B","1B","1B","1B","1B","1C","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2020-04-28","2020-07-25","0","0","2020-04-10","2/27/2021","0","4/10/2020","2021-02-27","2020-03-24","2020-05-21","0","0","2020-04-02","0","0","2020-03-13","2020-03-13","0","0","0","1","0","1","0","0","1","0","1","0","2020-03-16","2020-03-16","0","0","1","0","0","2020-04-03","2020-04-27","0","0","0","0","2020-03-17","0","1","1","1","0","0","0","451","1051","16","33","2020-05-31","2020-10-17","7.5","208","208","0","0","2835","2","1","0","31200","7000","0.1","6","223.84","1","0","0","0","0","0","0","0","1","56.67","3013825","53179","2717","4.5","17.2","43.5","32336","231.6","1","0","0","0","0","0","0","2020-10-27","2020-03-17","2020-05-18","0","0","0","7.5","8","8.5","8.5","9.25","10","10","10","10","2.63","11","1","0",0,3017804,38.8,95.6,93.3,0.133658779695434,"R",12905,4.2762883209115
"California",-44,"CA","6","2020-03-04","0","2020-03-23","0","0","0","2020-03-19","0","2021-01-25","2020-03-19","2020-11-21","2020-05-08","0","2020-06-18","0","0","0","1","2020-05-05","0","0","1","2020-03-19","2020-03-19","0","2020-03-16","2020-05-18","0","2020-03-19","0","2020-03-19","0","2020-03-16","0","2020-08-28","2020-05-25","2020-05-08","2021-01-25","0","0","0","0","0","2020-07-13","0","0","0","0","0","0","0","0","0","0","2021-02-13","1A","1A","1A","1A","1A","1A","1B","1B","1B","1B","1B","1B","1B","1C","1B","1B","1B","1B","1B","1B","^","^","0","0","0","0","1","1","2020-03-27","2020-09-02","0","0","0","0","2020-10-05","2021-07-01","0","0","2020-04-06","2020-10-04","0","0","2020-03-27","2020-06-01","0","0","2020-03-27","2020-06-01","2020-10-05","0","0","0","0","0","3/4/2020","0","0","3/4/2020","0","2020-03-30","2020-04-23","0","1","2020-03-23","2020-03-20","0","2020-03-30","2020-03-18","0","0","1","1","0","1","1","1","1","0","1","1","2020-03-11","2020-04-08","0","1","0","0","0","2020-03-19","2020-04-22","0","0","0","0","2020-03-12","0","1","1","1","1","0","0","450","1050","26","39","2020-05-10","0","-","-","-","2020-06-07","2021-01-16","1125","2","225","0","6900","7000","1.5","6.2","282.35000000000002","0","0","0","0","0","0","0","1","1","241.65","39557045","163695","151278","5.5","12.8","33.299999999999997","268818","356.2","1","1","0","0","0","1","0","0","0","0","0","0","0","9","10","10","11","12","12","12","12","12","12","13","1","1",88,39512223,37,98.8,97.3,0.131256598749202,"D",151141,3.82517075791964
"Colorado",-31,"CO","8","2020-03-11","0","2020-03-23","0","0","2020-03-12","2020-03-26","0","2020-04-27","2020-03-19","0","2020-05-01","1","2020-07-16","0","0","0","0","2020-04-23","0","0","1","2020-03-20","2020-03-20","1","2020-03-17","2020-05-27","0","2020-03-17","2020-06-04","2020-03-17","2020-06-18","2020-03-17","2020-06-18","2020-05-01","2020-06-04","2020-05-01","0","2020-06-30","2020-06-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2021-02-26","1A","1B","1B","1B","1A","1B","1B","1B","1B","2","2","1B","1B","1B","1B","1B","1B","1B","1B","1B","1B","2","0","0","0","0","0","1","2020-04-30","2020-06-14","2020-10-21","2021-01-01","0","0","2020-04-30","2020-06-14","2020-10-21","2021-01-01","0","0","0","0","2020-04-30","2020-06-14","2020-10-21","2021-01-01","2020-05-29","2020-06-14","2020-10-21","2021-01-01","0","0","2020-10-15","2020-12-31","0","0","0","0","0","2020-04-01","2020-05-16","2020-04-10","1","2020-03-26","2020-03-20","0","2020-04-01","2020-03-20","0","0","0","1","1","1","1","0","1","1","1","1","2020-03-11","0","0","0","1","0","0","2020-03-23","2020-04-27","0","0","0","0","2020-03-20","0","1","2","0","0","0","0","618","1218","26","39","2020-05-31","2020-11-28","6.5","250","197","0","0","2500","1","0","0","13000","13600","0.57999999999999996","7.4","371.47","0","0","0","0","0","0","0","0","1","54.72","5695564","104094","9619","3.9","9.6","31.3","38526","356.4","1","1","0","0","1","0","0","0","2020-03-17","0","0","0","0","8.23","8.31","9.3000000000000007","10.199999999999999","12","12","12","12","12","8.98","12.32","1","1",32,5758736,37.1,101.8,100.7,0.129519220884583,"D",29250,5.07923961091462
"Connecticut",-33,"CT","9","2020-03-10","0","2020-03-17","0","0","2020-03-09","0","2020-03-23","2020-05-20","2020-03-23","2020-11-02","2020-05-20","0","2020-04-20","0","0","0","1","2020-04-03","0","0","1","2020-03-19","2020-04-24","1","2020-03-16","2020-05-20","1","2020-03-16","2020-06-17","2020-03-16","2020-06-17","2020-03-16","0","2020-06-01","2020-05-29","2020-05-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2020-06-25","0","0","2021-02-03","1A","1A","1A","1A","1A","1A","1A","1A","1B","1B","1B","1B","1B","1B","1B","1B","1B","1B","1B","1B","^","^","0","0","0","0","0","1","2020-03-16","2021-02-10","0","0","0","0","2020-04-10","2021-02-10","0","0","2020-03-16","2020-09-14","0","0","2020-03-19","2021-01-03","0","0","0","0","0","0","0","0","2020-09-14","2021-02-09","2020-03-12","9/30/2020","0","3/18/2020","2020-05-02","2020-03-28","2020-04-24","2020-04-02","1","2020-03-27","2020-03-19","0","2020-03-19","2020-03-18","0","0","0","1","0","1","1","0","1","0","1","1","2020-03-13","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0","649","1249","26","39","2020-04-26","0","-","-","-","2020-08-02","2020-12-12","600","1","0","0","15600","15000","0.5","5.4","289.08999999999997","0","0","0","0","0","0","0","1","1","644.54","3572665","5543","3033","5.5","10.4","36","31230","396.9","1","1","0","0","0","0","1","2020-11-02","0","0","0","0","1","9.15","9.6","10.1","10.1","11","11","11","12","12","6.38","12","0","0",0,3565287,41.2,95.7,93.4,0.134241366824045,"D",45228,12.6856547593504
"Delaware",-31,"DE","10","2020-03-13","0","2020-03-16","2020-04-06","2020-06-15","0","2020-03-24","0","2020-06-01","2020-03-24","2020-12-14","2020-05-08","1","2020-04-28","0","1","1","0","2020-05-01","0","0","1","2020-03-18","0","1","2020-03-16","2020-06-01","0","2020-03-19","2020-06-01","2020-03-19","2020-06-01","2020-03-16","2020-06-15","2020-06-08","2020-05-20","2020-05-20","2021-01-08","2020-07-03","0","0","0","0","0","0","0","0","0","0","0","0","0","2020-03-30","2020-06-01","2021-03-02","1A","1A","1A","1A","1A","1A","1B","1B","1B","1C","1C","1B","1B","1C","1B","1B","1B","1B","1B","1B","1C","3","0","0","0","0","0","0","2020-03-17","2020-07-01","0","0","0","0","2020-03-24","2020-07-01","0","0","2020-03-17","2020-07-01","0","0","2020-03-24","2020-07-01","0","0","0","0","0","0","2020-07-01","2021-01-31","2020-09-11","2021-01-31","2020-03-24","7/1/2020","0","0","0","2020-03-26","2020-04-30","2020-04-13","0","2020-03-27","0","1","2020-01-01","2020-03-18","0","0","1","1","0","1","1","0","0","0","0","0","2020-03-12","0","2020-09-01","0","1","0","0","0","0","2020-05-20","0","0","0","1","0","1","1","0","0","1","0","400","1000","26","39","2020-05-24","2021-01-09","6.4","160","178","2020-10-11","2020-12-19","720","1","0","0","13800","16500","0.1","8","238.98","0","0","0","0","0","0","0","0","1","388.58","967171","2489","921","5.7","12.5","41.3","9433","262.60000000000002","1","0","0","0","0","0","1","2020-11-02","2020-03-16","2020-06-01","0","0","0","8.25","8.25","8.25","8.75","9.25","9.25","9.25","9.25","9.25","2.23","9.25","0","1",69,973764,41.4,93.4,91.1,0.12131378855657,"D",10395,10.6750711671411
"District of Columbia",-60,"DC","11","2020-03-11","0","2020-03-16","0","0","0","2020-04-01","0","2020-05-29","2020-03-25","2020-11-23","2020-05-29","0","2020-04-17","0","1","0","0","2020-04-15","0","0","1","2020-03-17","2020-03-17","0","2020-03-16","2020-05-29","1","2020-03-17","2020-06-22","2020-03-17","2020-06-22","2020-03-16","2020-05-29","2020-05-29","2020-06-22","2020-06-22","2020-11-15","0","0","0","0","0","2020-12-23","2021-01-22","0","0","0","0","0","0","2020-07-27","0","0","2021-01-11","1A","1A","1A","1A","1A","1A","1A","1B","1B","1B","1B","1B","1B","1C","1B","1C","1B","1B","1B","1B","1C","2","0","0","0","0","0","0","2020-03-15","2021-01-31","0","0","0","0","2020-05-13","2020-12-16","0","0","2020-03-15","2021-01-31","0","0","2020-05-13","2021-01-31","0","0","0","0","0","0","0","0",NA,NA,"2020-03-27","1/31/2021","0","0","0","2020-04-01","2020-05-19","0","1","2020-04-03","2020-04-06","0","2020-03-19","2020-03-12","0","0","0","1","0","1","1","0","1","0","0","0","2020-03-15","2020-03-15","0","1","0","0","0","0","0","0","0","0","0","2020-03-17","0","1","1","1","0","0","0","444","1044","26","39","2020-05-24","0","-","-","-","2020-07-05","2021-01-16","1950","2","650","0","11700","9000","1.6","7","348.75","0","0","0","0","0","0","0","1","1","11496.81","702455","61.1","6521","7.5","16.2","31.8","5008","508.6","0","0","0","0","0","1","0","0","0","0","0","0","0","10.5","11.5","11.5","13.25","14","14","15","15","15","5","15","0","1",58,705749,34.3,90,87.4,0.124636379222641,"D",9796,13.8802888845751
"Florida",-33,"FL","12","2020-03-09","0","2020-03-17","0","0","2020-03-15","2020-04-03","0","2020-05-18","2020-04-03","0","2020-05-18","1","0","0","0","0","0","2020-05-11","0","0","1","2020-03-20","2020-03-20","1","2020-04-03","2020-05-18","0","2020-04-03","2020-05-18","2020-04-03","2020-06-05","2020-03-17","2020-06-05","2020-05-11","0","2020-05-18","0","2020-06-26","2020-06-26","0","0","0","0","0","2020-09-14","0","0","0","0","0","2020-03-24","0","2020-08-05","2021-03-03","1A","1A","1A","1A","1A","1A","^","^","^","^","^","1A","1A","^","^","^","^","^","^","^","^","^","1","0","0","1","0","0","2020-04-02","2020-10-01","0","0","0","0","2020-04-02","2020-07-29","0","0","0","0","0","0","0","0","0","0","2020-04-02","2020-10-01","0","0","0","0","0","0","0","0","0","0","0","2020-03-30","2020-05-27","0","0","2020-03-16","0","0","0","2020-03-18","1","0","0","1","1","1","1","0","0","0","0","1","2020-03-11","0","0","0","1","0","0","2020-03-20","2020-05-04","0","0","0","0","2020-03-31","0","1","1","1","0","0","0","275","875","12","25","2020-06-07","2020-11-07","8.6999999999999993","290","256","0","0","3400","2","1133","0","Max Benefit < $300","7000","0.1","5.4","232.04","0","0","0","0","0","0","0","0","0","323.89999999999998","21299325","65758","28328","5.2","13.6","42.1","205426","160.5","1","1","0","0","0","0","0","2020-10-24","0","0","0","0","0","8.0500000000000007","8.0500000000000007","8.1","8.25","8.56","8.56","8.56","8.56","8.56","5.54","8.65","0","1",45,21477737,42.4,95.6,93.5,0.115477342887661,"R",75333,3.50749243274559
