Label,Alabama!!Estimate,Alabama!!Percent,Alaska!!Estimate,Alaska!!Percent,Arizona!!Estimate,Arizona!!Percent,Arkansas!!Estimate,Arkansas!!Percent,California!!Estimate,California!!Percent,Colorado!!Estimate,Colorado!!Percent,Connecticut!!Estimate,Connecticut!!Percent,Delaware!!Estimate,Delaware!!Percent,District of Columbia!!Estimate,District of Columbia!!Percent,Florida!!Estimate,Florida!!Percent,Georgia!!Estimate,Georgia!!Percent,Hawaii!!Estimate,Hawaii!!Percent,Idaho!!Estimate,Idaho!!Percent,Illinois!!Estimate,Illinois!!Percent,Indiana!!Estimate,Indiana!!Percent,Iowa!!Estimate,Iowa!!Percent,Kansas!!Estimate,Kansas!!Percent,Kentucky!!Estimate,Kentucky!!Percent,Louisiana!!Estimate,Louisiana!!Percent,Maine!!Estimate,Maine!!Percent,Maryland!!Estimate,Maryland!!Percent,Massachusetts!!Estimate,Massachusetts!!Percent,Michigan!!Estimate,Michigan!!Percent,Minnesota!!Estimate,Minnesota!!Percent,Mississippi!!Estimate,Mississippi!!Percent,Missouri!!Estimate,Missouri!!Percent,Montana!!Estimate,Montana!!Percent,Nebraska!!Estimate,Nebraska!!Percent,Nevada!!Estimate,Nevada!!Percent,New Hampshire!!Estimate,New Hampshire!!Percent,New Jersey!!Estimate,New Jersey!!Percent,New Mexico!!Estimate,New Mexico!!Percent,New York!!Estimate,New York!!Percent,North Carolina!!Estimate,North Carolina!!Percent,North Dakota!!Estimate,North Dakota!!Percent,Ohio!!Estimate,Ohio!!Percent,Oklahoma!!Estimate,Oklahoma!!Percent,Oregon!!Estimate,Oregon!!Percent,Pennsylvania!!Estimate,Pennsylvania!!Percent,Rhode Island!!Estimate,Rhode Island!!Percent,South Carolina!!Estimate,South Carolina!!Percent,South Dakota!!Estimate,South Dakota!!Percent,Tennessee!!Estimate,Tennessee!!Percent,Texas!!Estimate,Texas!!Percent,Utah!!Estimate,Utah!!Percent,Vermont!!Estimate,Vermont!!Percent,Virginia!!Estimate,Virginia!!Percent,Washington!!Estimate,Washington!!Percent,West Virginia!!Estimate,West Virginia!!Percent,Wisconsin!!Estimate,Wisconsin!!Percent,Wyoming!!Estimate,Wyoming!!Percent,Puerto Rico!!Estimate,Puerto Rico!!Percent
SEX AND AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total population,"4,903,185","4,903,185","731,545","731,545","7,278,717","7,278,717","3,017,804","3,017,804","39,512,223","39,512,223","5,758,736","5,758,736","3,565,287","3,565,287","973,764","973,764","705,749","705,749","21,477,737","21,477,737","10,617,423","10,617,423","1,415,872","1,415,872","1,787,065","1,787,065","12,671,821","12,671,821","6,732,219","6,732,219","3,155,070","3,155,070","2,913,314","2,913,314","4,467,673","4,467,673","4,648,794","4,648,794","1,344,212","1,344,212","6,045,680","6,045,680","6,892,503","6,892,503","9,986,857","9,986,857","5,639,632","5,639,632","2,976,149","2,976,149","6,137,428","6,137,428","1,068,778","1,068,778","1,934,408","1,934,408","3,080,156","3,080,156","1,359,711","1,359,711","8,882,190","8,882,190","2,096,829","2,096,829","19,453,561","19,453,561","10,488,084","10,488,084","762,062","762,062","11,689,100","11,689,100","3,956,971","3,956,971","4,217,737","4,217,737","12,801,989","12,801,989","1,059,361","1,059,361","5,148,714","5,148,714","884,659","884,659","6,829,174","6,829,174","28,995,881","28,995,881","3,205,958","3,205,958","623,989","623,989","8,535,519","8,535,519","7,614,893","7,614,893","1,792,147","1,792,147","5,822,434","5,822,434","578,759","578,759","3,193,694","3,193,694"
        Male,"2,369,611",48.30%,"380,433",52.00%,"3,620,935",49.70%,"1,474,705",48.90%,"19,640,794",49.70%,"2,904,955",50.40%,"1,743,777",48.90%,"470,288",48.30%,"334,355",47.40%,"10,498,005",48.90%,"5,170,126",48.70%,"707,855",50.00%,"898,044",50.30%,"6,217,305",49.10%,"3,319,907",49.30%,"1,570,384",49.80%,"1,446,287",49.60%,"2,198,205",49.20%,"2,268,202",48.80%,"656,330",48.80%,"2,928,013",48.40%,"3,345,556",48.50%,"4,915,905",49.20%,"2,804,216",49.70%,"1,434,957",48.20%,"3,008,169",49.00%,"537,170",50.30%,"966,650",50.00%,"1,544,779",50.20%,"672,960",49.50%,"4,342,591",48.90%,"1,036,708",49.40%,"9,450,810",48.60%,"5,094,327",48.60%,"388,339",51.00%,"5,732,207",49.00%,"1,962,477",49.60%,"2,089,676",49.50%,"6,272,527",49.00%,"517,221",48.80%,"2,485,001",48.30%,"449,458",50.80%,"3,329,115",48.70%,"14,385,762",49.60%,"1,610,671",50.20%,"309,164",49.50%,"4,201,799",49.20%,"3,807,572",50.00%,"885,861",49.40%,"2,892,804",49.70%,"296,005",51.10%,"1,515,994",47.50%
        Female,"2,533,574",51.70%,"351,112",48.00%,"3,657,782",50.30%,"1,543,099",51.10%,"19,871,429",50.30%,"2,853,781",49.60%,"1,821,510",51.10%,"503,476",51.70%,"371,394",52.60%,"10,979,732",51.10%,"5,447,297",51.30%,"708,017",50.00%,"889,021",49.70%,"6,454,516",50.90%,"3,412,312",50.70%,"1,584,686",50.20%,"1,467,027",50.40%,"2,269,468",50.80%,"2,380,592",51.20%,"687,882",51.20%,"3,117,667",51.60%,"3,546,947",51.50%,"5,070,952",50.80%,"2,835,416",50.30%,"1,541,192",51.80%,"3,129,259",51.00%,"531,608",49.70%,"967,758",50.00%,"1,535,377",49.80%,"686,751",50.50%,"4,539,599",51.10%,"1,060,121",50.60%,"10,002,751",51.40%,"5,393,757",51.40%,"373,723",49.00%,"5,956,893",51.00%,"1,994,494",50.40%,"2,128,061",50.50%,"6,529,462",51.00%,"542,140",51.20%,"2,663,713",51.70%,"435,201",49.20%,"3,500,059",51.30%,"14,610,119",50.40%,"1,595,287",49.80%,"314,825",50.50%,"4,333,720",50.80%,"3,807,321",50.00%,"906,286",50.60%,"2,929,630",50.30%,"282,754",48.90%,"1,677,700",52.50%
        Sex ratio (males per 100 females),93.5,(X),108.4,(X),99,(X),95.6,(X),98.8,(X),101.8,(X),95.7,(X),93.4,(X),90,(X),95.6,(X),94.9,(X),100,(X),101,(X),96.3,(X),97.3,(X),99.1,(X),98.6,(X),96.9,(X),95.3,(X),95.4,(X),93.9,(X),94.3,(X),96.9,(X),98.9,(X),93.1,(X),96.1,(X),101,(X),99.9,(X),100.6,(X),98,(X),95.7,(X),97.8,(X),94.5,(X),94.4,(X),103.9,(X),96.2,(X),98.4,(X),98.2,(X),96.1,(X),95.4,(X),93.3,(X),103.3,(X),95.1,(X),98.5,(X),101,(X),98.2,(X),97,(X),100,(X),97.7,(X),98.7,(X),104.7,(X),90.4,(X)
        Under 5 years,"286,597",5.80%,"50,891",7.00%,"427,707",5.90%,"183,327",6.10%,"2,377,839",6.00%,"327,302",5.70%,"180,598",5.10%,"54,261",5.60%,"45,263",6.40%,"1,131,148",5.30%,"639,713",6.00%,"85,335",6.00%,"115,837",6.50%,"742,404",5.90%,"414,553",6.20%,"190,606",6.00%,"183,236",6.30%,"273,130",6.10%,"292,977",6.30%,"62,813",4.70%,"358,346",5.90%,"355,066",5.20%,"567,914",5.70%,"349,621",6.20%,"179,497",6.00%,"365,451",6.00%,"58,850",5.50%,"129,551",6.70%,"184,168",6.00%,"64,200",4.70%,"511,925",5.80%,"116,978",5.60%,"1,119,825",5.80%,"596,583",5.70%,"50,567",6.60%,"686,672",5.90%,"251,083",6.30%,"223,364",5.30%,"695,661",5.40%,"54,802",5.20%,"289,537",5.60%,"58,859",6.70%,"407,026",6.00%,"1,981,755",6.80%,"245,883",7.70%,"29,021",4.70%,"499,906",5.90%,"455,283",6.00%,"91,548",5.10%,"327,258",5.60%,"33,098",5.70%,"115,403",3.60%
        5 to 9 years,"294,475",6.00%,"52,692",7.20%,"445,512",6.10%,"192,289",6.40%,"2,380,762",6.00%,"344,202",6.00%,"193,466",5.40%,"54,150",5.60%,"35,558",5.00%,"1,123,648",5.20%,"678,013",6.40%,"84,466",6.00%,"125,134",7.00%,"752,856",5.90%,"413,125",6.10%,"205,431",6.50%,"196,962",6.80%,"264,938",5.90%,"298,089",6.40%,"64,874",4.80%,"359,505",5.90%,"355,521",5.20%,"578,688",5.80%,"361,330",6.40%,"190,277",6.40%,"380,818",6.20%,"61,823",5.80%,"131,863",6.80%,"185,324",6.00%,"67,001",4.90%,"524,592",5.90%,"130,751",6.20%,"1,052,163",5.40%,"615,543",5.90%,"48,953",6.40%,"690,188",5.90%,"262,753",6.60%,"235,390",5.60%,"713,446",5.60%,"49,154",4.60%,"300,712",5.80%,"59,654",6.70%,"405,373",5.90%,"1,995,392",6.90%,"258,067",8.00%,"31,204",5.00%,"504,065",5.90%,"456,737",6.00%,"98,494",5.50%,"344,543",5.90%,"40,471",7.00%,"153,900",4.80%
        10 to 14 years,"317,645",6.50%,"49,737",6.80%,"486,413",6.70%,"202,376",6.70%,"2,629,510",6.70%,"366,422",6.40%,"216,194",6.10%,"59,911",6.20%,"31,821",4.50%,"1,258,247",5.90%,"758,925",7.10%,"82,606",5.80%,"129,492",7.20%,"823,249",6.50%,"469,734",7.00%,"204,137",6.50%,"203,308",7.00%,"292,075",6.50%,"317,155",6.80%,"72,870",5.40%,"390,637",6.50%,"395,607",5.70%,"617,636",6.20%,"372,737",6.60%,"211,264",7.10%,"391,770",6.40%,"67,783",6.30%,"136,832",7.10%,"206,681",6.70%,"76,710",5.60%,"563,204",6.30%,"146,207",7.00%,"1,164,223",6.00%,"686,687",6.50%,"50,415",6.60%,"752,389",6.40%,"280,191",7.10%,"254,889",6.00%,"764,806",6.00%,"62,573",5.90%,"334,285",6.50%,"62,453",7.10%,"443,911",6.50%,"2,184,780",7.50%,"267,584",8.30%,"31,922",5.10%,"543,494",6.40%,"477,450",6.30%,"104,920",5.90%,"368,646",6.30%,"38,966",6.70%,"189,662",5.90%
        15 to 19 years,"326,671",6.70%,"46,531",6.40%,"483,546",6.60%,"205,446",6.80%,"2,547,449",6.40%,"365,529",6.30%,"238,670",6.70%,"60,766",6.20%,"37,751",5.30%,"1,213,809",5.70%,"746,150",7.00%,"77,697",5.50%,"125,543",7.00%,"829,525",6.50%,"464,953",6.90%,"214,686",6.80%,"198,860",6.80%,"295,004",6.60%,"301,712",6.50%,"78,209",5.80%,"381,318",6.30%,"451,393",6.50%,"653,218",6.50%,"363,358",6.40%,"214,658",7.20%,"398,235",6.50%,"70,013",6.60%,"131,674",6.80%,"184,666",6.00%,"87,386",6.40%,"555,206",6.30%,"139,186",6.60%,"1,187,268",6.10%,"713,066",6.80%,"46,933",6.20%,"766,270",6.60%,"273,627",6.90%,"249,830",5.90%,"803,486",6.30%,"71,713",6.80%,"339,558",6.60%,"57,976",6.60%,"435,235",6.40%,"2,077,356",7.20%,"255,453",8.00%,"43,161",6.90%,"555,996",6.50%,"459,277",6.00%,"109,763",6.10%,"380,127",6.50%,"38,611",6.70%,"208,460",6.50%
        20 to 24 years,"317,739",6.50%,"47,636",6.50%,"490,999",6.70%,"197,910",6.60%,"2,638,791",6.70%,"380,338",6.60%,"239,939",6.70%,"57,365",5.90%,"50,211",7.10%,"1,266,383",5.90%,"714,400",6.70%,"89,100",6.30%,"120,062",6.70%,"829,093",6.50%,"467,839",6.90%,"217,206",6.90%,"212,867",7.30%,"294,084",6.60%,"298,660",6.40%,"74,294",5.50%,"372,016",6.20%,"484,340",7.00%,"674,774",6.80%,"345,374",6.10%,"200,789",6.70%,"394,992",6.40%,"68,359",6.40%,"132,718",6.90%,"182,851",5.90%,"84,664",6.20%,"536,034",6.00%,"137,719",6.60%,"1,265,348",6.50%,"689,128",6.60%,"60,819",8.00%,"743,776",6.40%,"270,073",6.80%,"266,146",6.30%,"796,554",6.20%,"74,167",7.00%,"321,418",6.20%,"57,688",6.50%,"443,667",6.50%,"1,984,048",6.80%,"267,379",8.30%,"43,123",6.90%,"559,301",6.60%,"475,822",6.20%,"106,336",5.90%,"386,575",6.60%,"37,766",6.50%,"224,534",7.00%
